Var1,Var2,Var3
2017-01-24 21:52:58,16.02237,3.853093
2017-02-05 21:52:51,11.28542,3.986498
2017-03-13 21:52:49,7.07018,2.887604
2017-03-25 21:52:49,7.689608,3.548452
2017-04-06 21:52:50,1.934673,3.45376
2017-04-18 21:52:50,0,0
2017-04-30 21:52:51,11.49972,3.597209
2017-05-12 21:52:51,6.492418,2.984406
2017-05-24 21:52:52,10.44605,3.780561
2017-06-05 21:52:53,9.486008,3.199542
2017-06-29 21:52:54,9.194284,3.877575
2017-07-11 21:52:55,7.628294,3.243392
2017-07-23 21:52:55,16.17202,5.057321
2017-08-04 21:52:56,9.675612,4.891384
2017-08-16 21:52:57,12.58204,5.226681
2017-08-28 21:52:57,16.48965,4.926023
2017-09-09 21:52:58,17.60074,4.654154
2017-09-21 21:52:58,28.13944,5.712124
2017-10-03 21:52:58,65.8883,7.633062
2017-10-15 21:52:59,97.79066,9.154728
2017-10-27 21:52:59,105.3308,9.335672
2017-11-08 21:52:58,118.3986,8.583042
2017-11-20 21:52:58,157.678,19.70535
