Var1,Var2,Var3
2017-01-24,14.69196,4.654589
2017-02-05,10.70777,4.588264
2017-03-13,6.860852,3.040429
2017-03-25,7.370498,3.772188
2017-04-06,2.617228,3.244029
2017-04-30,11.70009,3.827431
2017-05-12,7.445424,3.123441
2017-05-24,9.156028,4.375598
2017-06-05,9.845745,3.198228
2017-06-29,9.29733,4.104897
2017-07-11,6.533143,4.069976
2017-07-23,15.03422,5.982862
2017-08-04,9.625859,5.278549
2017-08-16,12.67903,5.465468
2017-08-28,16.07366,5.434108
2017-09-09,14.11823,6.298886
2017-09-21,19.23906,9.718834
2017-10-03,47.44471,17.49485
2017-10-15,72.93251,23.89063
2017-10-27,80.34981,25.72313
2017-11-08,92.39599,25.82028
2017-11-20,107.4436,37.63449
