Reference, Reference URL, Reference Perpendicular Baseline (meters),Secondary, Secondary URL, Secondary Perpendicular Baseline (meters),Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20170124T215255_20170124T215314_014979_01874F_BD16,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170124T215255_20170124T215314_014979_01874F_BD16.zip,0,S1A_IW_SLC__1SDV_20170205T215249_20170205T215319_015154_018CAE_0EA0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170205T215249_20170205T215319_015154_018CAE_0EA0.zip,6,11
S1A_IW_SLC__1SDV_20170124T215255_20170124T215314_014979_01874F_BD16,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170124T215255_20170124T215314_014979_01874F_BD16.zip,0,S1A_IW_SLC__1SDV_20170313T215247_20170313T215316_015679_019CCC_6A05,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170313T215247_20170313T215316_015679_019CCC_6A05.zip,32,47
S1A_IW_SLC__1SDV_20170205T215249_20170205T215319_015154_018CAE_0EA0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170205T215249_20170205T215319_015154_018CAE_0EA0.zip,6,S1A_IW_SLC__1SDV_20170313T215247_20170313T215316_015679_019CCC_6A05,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170313T215247_20170313T215316_015679_019CCC_6A05.zip,32,36
S1A_IW_SLC__1SDV_20170205T215249_20170205T215319_015154_018CAE_0EA0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170205T215249_20170205T215319_015154_018CAE_0EA0.zip,6,S1A_IW_SLC__1SDV_20170325T215248_20170325T215317_015854_01A1FC_6DB3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170325T215248_20170325T215317_015854_01A1FC_6DB3.zip,-8,48
S1A_IW_SLC__1SDV_20170313T215247_20170313T215316_015679_019CCC_6A05,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170313T215247_20170313T215316_015679_019CCC_6A05.zip,32,S1A_IW_SLC__1SDV_20170325T215248_20170325T215317_015854_01A1FC_6DB3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170325T215248_20170325T215317_015854_01A1FC_6DB3.zip,-8,12
S1A_IW_SLC__1SDV_20170313T215247_20170313T215316_015679_019CCC_6A05,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170313T215247_20170313T215316_015679_019CCC_6A05.zip,32,S1A_IW_SLC__1SDV_20170406T215248_20170406T215317_016029_01A730_08DA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170406T215248_20170406T215317_016029_01A730_08DA.zip,52,24
S1A_IW_SLC__1SDV_20170313T215247_20170313T215316_015679_019CCC_6A05,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170313T215247_20170313T215316_015679_019CCC_6A05.zip,32,S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1.zip,69,36
S1A_IW_SLC__1SDV_20170313T215247_20170313T215316_015679_019CCC_6A05,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170313T215247_20170313T215316_015679_019CCC_6A05.zip,32,S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670.zip,21,48
S1A_IW_SLC__1SDV_20170325T215248_20170325T215317_015854_01A1FC_6DB3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170325T215248_20170325T215317_015854_01A1FC_6DB3.zip,-8,S1A_IW_SLC__1SDV_20170406T215248_20170406T215317_016029_01A730_08DA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170406T215248_20170406T215317_016029_01A730_08DA.zip,52,12
S1A_IW_SLC__1SDV_20170325T215248_20170325T215317_015854_01A1FC_6DB3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170325T215248_20170325T215317_015854_01A1FC_6DB3.zip,-8,S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1.zip,69,24
